pkgmain,13.824911001
pkgmain_parallel,12.527007836
pkgmain,16.618509992
pkgmain_parallel,15.982987327
pkgmain,14.360537975
pkgmain_parallel,13.601313376
pkgmain,19.107313633
pkgmain_parallel,16.154960620
pkgmain,13.378384786
pkgmain_parallel,12.545952148
pkgmain,12.820878546
pkgmain_parallel,12.634371820
pkgmain,12.236997535
pkgmain_parallel,12.105327044
pkgmain,12.829003057
pkgmain_parallel,11.983084794
pkgmain,18.277012242
pkgmain_parallel,15.486826005
pkgmain,16.746762030
pkgmain_parallel,12.828644968
